Source,Harga lama,Harga baru,Judul,No. ISBN,"Penerbit									",Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://bukukita.com/Agama/Islam/168432-Para-Pembentuk-Peradaban-Islam:-Seribu-Tahun-Pertama.html,Rp 125.000,Rp 118.750,Para Pembentuk Peradaban Islam: Seribu Tahun Pertama (HC),9.78623E+12,Alvabet ,Desember - 2021,388,500 gr,Hard Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Hukum-dan-Undang-undang/Sosial-Politik/142463-Dinamika-Konsolidasi-Demokrasi.html,Rp 90.000,Rp 85.500,Dinamika Konsolidasi Demokrasi  (Disc 50%),9.78979E+12,Yayasan Obor Indonesia ,2015,316,310 gr,Soft Cover,-,Sosial-Politik,-,Indonesia ··
https://bukukita.com/Referensi/Referensi-Umum/117149-Ancangan-Semiotika-dan-Pengkajian-Susastra.html,Rp 30.400,Rp 28.880,Ancangan Semiotika dan Pengkajian Susastra (Cover Baru),9.7898E+12,Angkasa ,Agustus - 2013,-,230 gr,Soft Cover,-,Referensi Umum,-,Indonesia ··
https://bukukita.com/Anak-Anak/Pendidikan-Anak/135744-DOT-TO-DOT-PG-PAUD-semester-2.html,Rp 19.000,Rp 18.050,DOT TO DOT PG/PAUD semester 2,9.78603E+12,Happy Holy Kids ,Juni - 2015,-,100 gr,Soft Cover,-,Pendidikan Anak,-,Indonesia ··
https://bukukita.com/Buku-Novel/Psikologi/109129-Seri-Napza-:-Tak-Seindah-Kicau-Nuri.html,Rp 30.800,Rp 29.260,Seri Napza : Tak Seindah Kicau Nuri,-,Titian Ilmu ,2007,105,150 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://bukukita.com/Buku-Sekolah/Taman-Kanak-Kanak/135767-Mengenal-Angka-TK-A-semester-2.html,Rp 19.000,Rp 18.050,Mengenal Angka TK A semester 2,9.78603E+12,Happy Holy Kids ,Juni - 2015,-,150 gr,Soft Cover,-,Taman Kanak-Kanak,-,Indonesia ··
https://bukukita.com/Anak-Anak/Keterampilan/135757-Menarik-Garis-dan-Mewarnai-TK-A-semester-1.html,Rp 19.000,Rp 18.050,Menarik Garis dan Mewarnai TK A semester 1,9.78603E+12,Happy Holy Kids ,Juni - 2015,-,150 gr,Soft Cover,-,Keterampilan,-,Indonesia ··
https://bukukita.com/Agama/Islam/128569-Antara-Musibah.-Ujian-dan-Azab.html,Rp 29.000,Rp 27.550,Antara Musibah. Ujian dan Azab,9.78979E+12,Titian Ilmu ,Sep-14,-,150 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Kesehatan-dan-Lingkungan/Pengetahuan-Kesehatan/142176-30-Perubahan-Tubuh-Selama-Hamil.html,Rp 60.000,Rp 57.000,30 Perubahan Tubuh Selama Hamil,9.78603E+12,Kemang Studio Aksara ,Apr-16,-,250 gr,Soft Cover,-,Pengetahuan Kesehatan,-,Indonesia ··
https://bukukita.com/Buku-Sekolah/Sekolah-Menengah-Pertama/143350-Kitab-Pintar-Kimia-SMP-MTS.html,Rp 40.000,Rp 38.000,Kitab Pintar Kimia SMP/MTS,9.78602E+12,Kurniaesa ,Mei - 2016,-,100 gr,Soft Cover,-,Sekolah Menengah Pertama,-,Indonesia ··
https://bukukita.com/Non-Fiksi-Lainnya/Kisah-Nyata/142429-Akhirnya-Aku-Temukan-Dirimu.html,Rp 35.000,Rp 33.250,Akhirnya Aku Temukan Dirimu,9.78602E+12,Indiva Media Kreasi ,Apr-16,-,200 gr,Soft Cover,-,Kisah Nyata,-,Indonesia ··
https://bukukita.com/Hukum-dan-Undang-undang/Sosial-Politik/141181-Pathok-Negoro-Menghadapi-Perubahan-Zaman.html,Rp 55.000,Rp 52.250,Pathok Negoro Menghadapi Perubahan Zaman,9.78603E+12,Diandra Primamitra ,Februari - 2016,-,300 gr,Soft Cover,-,Sosial-Politik,-,Indonesia ··
https://bukukita.com/Agama/Islam/128481-Mukjizat-Menakjubkan-Nabi-Muhammad.html,Rp 69.500,Rp 66.025,Mukjizat Menakjubkan Nabi Muhammad,9.78602E+12,Adi Bintang ,Sep-14,-,300 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Buku-Novel/Fiksi/138645-Kusut-Sebuah-Novel.html,Rp 134.750,Rp 128.013,Kusut Sebuah Novel,9.7898E+12,Angkasa ,Oktober - 2015,-,500 gr,Soft Cover,-,Fiksi,-,Indonesia ··
https://bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/132528-Sakitnya-Tuh-Nggak-di-Sini!!.html,Rp 35.500,Rp 33.725,Sakitnya Tuh Nggak di Sini!!,9.7898E+12,WAHYUQOLBU ,Februari - 2015,180,200 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://bukukita.com/Agama/Islam/125447-Kaya-Mulia-Menggapai-Hakikat-Kekayaan-Melalui-Jembatan-jembatan-Kemuliaan.html,Rp 35.000,Rp 33.250,Kaya Mulia Menggapai Hakikat Kekayaan Melalui Jembatan-jembatan Kemuliaan,9.78603E+12,Diandra Primamitra ,Maret - 2014,-,150 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Buku-Novel/Drama/154783-Binorrow:-Tongkat-Musa-dan-Tujuh-Roh-Boorne.html,Rp 78.000,Rp 74.100,Binorrow: Tongkat Musa dan Tujuh Roh Boorne,9.78602E+12,Buku Mojok ,2018,296,300 gr,Soft Cover,-,Drama,-,Indonesia ··
https://bukukita.com/Anak-Anak/Keterampilan/135759-DOT-TO-DOT-TK-dan-Mewarnai-TK-A-semester-1.html,Rp 19.000,Rp 18.050,DOT TO DOT TK dan Mewarnai TK A semester 1,9.78603E+12,Happy Holy Kids ,Juni - 2015,-,150 gr,Soft Cover,-,Keterampilan,-,Indonesia ··
https://bukukita.com/Inspirasi-dan-Spiritual/Pendidikan-&-Pengajar/147082-Pengembangan-Kapasitas-Guru.html,Rp 65.000,Rp 61.750,Pengembangan Kapasitas Guru,9.78603E+12,Alvabet ,Mei - 2015,234,350 gr,Soft Cover,150x230mm,Pendidikan & Pengajar,-,Indonesia ··
https://bukukita.com/Non-Fiksi-Lainnya/Komunikasi/119033-Periklanan-Perspektif-Ekonomi-Politik.html,Rp 60.000,Rp 57.000,Periklanan Perspektif Ekonomi Politik,9.78603E+12,Simbiosa Rekatama Media ,Oktober - 2013,-,300 gr,Soft Cover,-,Komunikasi,-,Indonesia ··
https://bukukita.com/Agama/Islam/167659-Semua-Akan-Nu-Pada-Waktunya-:-Catatan-Ringan-tentang-NU-dan-Tradisi-Tradisinya.html,Rp 105.000,Rp 99.750,Semua Akan Nu Pada Waktunya : Catatan Ringan tentang NU dan Tradisi-Tradisinya,9.78624E+12,Lkis ,Juni - 2021,-,500 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Psikologi-dan-Pengembangan-Diri/Motivasi/167017-Syukurilah-Hidup-Rayakanlah-Cinta.html,Rp 38.000,Rp 36.100,Syukurilah Hidup Rayakanlah Cinta,9.78603E+12,Indiva Media Kreasi ,Nov-20,-,300 gr,Soft Cover,-,Motivasi,-,Indonesia ··
https://bukukita.com/Inspirasi-dan-Spiritual/Pendidikan-&-Pengajar/146811-Revolusi-Mental-dalam-Pendidikan.html,Rp 51.000,Rp 48.450,Revolusi Mental dalam Pendidikan,9.7898E+12,Remaja Rosdakarya ,2015,216,400 gr,Soft Cover,-,Pendidikan & Pengajar,-,Indonesia ··
https://bukukita.com/Buku-Sekolah/Sekolah-Menengah-Atas/125722-Pendalaman-Materi-Kilat-SMA-MA-Kelas-11-I.html,Rp 85.000,Rp 80.750,Pendalaman Materi Kilat SMA/MA Kelas 11 I,9.78603E+12,Dunia Cerdas ,Juni - 2014,-,800 gr,Soft Cover,-,Sekolah Menengah Atas,-,Indonesia ··
https://bukukita.com/Referensi/Referensi-Umum/146594-Merancang-Produk.html,Rp 66.000,Rp 62.700,Merancang Produk,9.7898E+12,Remaja Rosdakarya ,2012,287,600 gr,Soft Cover (HVS),-,Referensi Umum,-,Indonesia ··
https://bukukita.com/Buku-Sekolah/Penunjang-Pelajaran/167368-Buku-Aku-Jago-Calis-Tung.html,Rp 45.500,Rp 43.225,Buku Aku Jago Calis Tung,9.78624E+12,CemerlangMediaPublishing ,Maret - 2021,36,100 gr,Soft Cover,-,Penunjang Pelajaran,-,Indonesia ··
https://bukukita.com/Agama/Islam/146321-Hari-Hari-Terakhir-Kehidupan-Rasulullah.html,Rp 90.000,Rp 85.500,Hari-Hari Terakhir Kehidupan Rasulullah [HC],9.78603E+12,Khazanah Fawa'id ,Sep-16,-,850 gr,Hard Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Referensi/Referensi-Umum/122612-Viola.html,Rp 25.200,Rp 23.940,Viola,-,Wedatama Widya Sastra ,Februari - 2014,-,160 gr,Soft Cover,-,Referensi Umum,-,Indonesia ··
https://bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/106114-Psikologi-Sosial-Sebagai-Akar-Ilmu-Komunikasi.html,Rp 87.000,Rp 82.650,Psikologi Sosial Sebagai Akar Ilmu Komunikasi,9.78979E+12,Simbiosa Rekatama Media ,Agustus - 2012,-,450 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://bukukita.com/Agama/Islam/103817-Persaudaraan.-Kebersamaan-dan-kekuatan-Moral.-Kunci-Meraih-Sukses.html,Rp 55.000,Rp 52.250,Persaudaraan. Kebersamaan dan kekuatan Moral. Kunci Meraih Sukses,9.78603E+12,Al Mawardi ,Mei - 2012,-,350 gr,Hard Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Buku-Novel/Drama/83781-DD-Elegi-Seorang-Penyanyi-Dangdut.html,Rp 35.000,Rp 33.250,DD Elegi Seorang Penyanyi Dangdut,9.78603E+12,Leutika ,Agustus - 2010,-,200 gr,Soft Cover,-,Drama,-,Indonesia ··
https://bukukita.com/Agama/Islam/110435-Panduan-Lengkap-Shalat-Wajib-dan-Sunnah.html,Rp 38.800,Rp 36.860,Panduan Lengkap Shalat Wajib dan Sunnah,9.78603E+12,KunciKom ,Februari - 2013,-,300 gr,Soft Cover,-,Islam,-,Indonesia ··
